charity_reg_num,full_view_year,field,value_1,value_2,value_3,value_4,insert_date
119052124,2022-03-31,Total revenue received from provincial/territorial governments,4550,"$2,598,573.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Total revenue received from municipal/regional governments,4560,"$33,483.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Total tax-receipted revenue from all sources outside of Canada (government and non-government),4571,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total non tax-receipted revenue from all sources outside Canada (government and non-government),4575,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total interest and investment income received or earned,4580,"$18,863.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Gross proceeds from disposition of assets,4590,,,,2023-11-27 17:27:46
119052124,2022-03-31,Net proceeds from disposition of assets (show a negative amount with minus sign),4600,,,,2023-11-27 17:27:46
119052124,2022-03-31,Gross income received from rental of land and/or buildings,4610,"$276,435.00",,,2023-11-27 17:27:46
119052124,2022-03-31,"Total non tax-receipted revenues received for memberships, dues and association fees",4620,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total non tax-receipted revenue from fundraising,4630,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total revenue from sale of goods and services (except to any level of government in Canada),4640,,,,2023-11-27 17:27:46
119052124,2022-03-31,Other revenue not already included in the amounts above,4650,"$258,621.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Specify type(s) of revenue included in the amount reported at 4650,4655,"TUITION, GRANTS, MISCELLANEOUS INCOME",,,2023-11-27 17:27:46
119052124,2022-03-31,"Total revenue (add lines 4500, 4510 to 4560, 4575, 4580, and 4600 to 4650)",4700,"$8,681,279.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Advertising and promotion,4800,"$43,178.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Travel and vehicle expenses,4810,"$14,815.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Interest and bank charges,4820,"$5,281.00",,,2023-11-27 17:27:46
119052124,2022-03-31,"Licences, memberships, and dues",4830,,,,2023-11-27 17:27:46
119052124,2022-03-31,Office supplies and expenses,4840,,,,2023-11-27 17:27:46
119052124,2022-03-31,Occupancy costs,4850,"$1,560,661.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Professional and consulting fees,4860,"$603,834.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Education and training for staff and volunteers,4870,"$10,118.00",,,2023-11-27 17:27:46
119052124,2022-03-31,"Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable)",4880,"$4,040,616.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Fair market value of all donated goods used in charitable activities,4890,,,,2023-11-27 17:27:46
119052124,2022-03-31,Purchased supplies and assets,4891,"$334,372.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Amortization of capitalized assets,4900,"$223,979.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Research grants and scholarships as part of charitable activities,4910,,,,2023-11-27 17:27:46
119052124,2022-03-31,All other expenditures not included in the amounts above (excluding gifts to qualified donees),4920,"$1,442,727.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Specify type(s) of expenditures included in the amount reported at 4920,4930,"EXTERNAL PROJECTS, GST, BAD DEBTS",,,2023-11-27 17:27:46
119052124,2022-03-31,Total expenditures before gifts to qualified donees (add lines 4800 to 4920),4950,"$8,279,581.00",,,2023-11-27 17:27:46
119052124,2022-03-31,,,,,,2023-11-27 17:27:46
119052124,2022-03-31,Of the amounts at line 4950:,,,,,2023-11-27 17:27:46
119052124,2022-03-31,(a) Total expenditures on charitable activities,5000,"$7,158,636.00",,,2023-11-27 17:27:46
119052124,2022-03-31,(b) Total expenditures on management and administration,5010,"$1,120,945.00",,,2023-11-27 17:27:46
119052124,2022-03-31,(c) Total expenditures on fundraising,5020,,,,2023-11-27 17:27:46
119052124,2022-03-31,(d) Total other expenditures included in line 4950,5040,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total amount of gifts made to all qualified donees,5050,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total expenditures (add lines 4950 and 5050),5100,"$8,279,581.00",,,2023-11-27 17:27:46
119052124,2022-03-31,"Enter the amount accumulated for the fiscal period, including income earned on accumulated funds",5500,,,,2023-11-27 17:27:46
119052124,2022-03-31,Enter the amount disbursed for the fiscal period for the specified purpose,5510,,,,2023-11-27 17:27:46
119052124,2022-03-31,"If the charity has received approval to make a reduction to its disbursement quota, enter the amount for the fiscal period",5750,,,,2023-11-27 17:27:46
119052124,2022-03-31,Enter the average value of property not used for charitable activities or administration during the 24 months before the BEGINNING of the fiscal period,5900,,,,2023-11-27 17:27:46
119052124,2022-03-31,Enter the average value of property not used for charitable activities or administration during the 24 months before the END of the fiscal period,5910,,,,2023-11-27 17:27:46
