charity_org_name_text,charity_org_name_href,charity_status,charity_type,charity_province,charity_city,charity_status_date,insert_date
École Mesivta Kerem Menachem / Mesivta Kerem Menachem Schoo l,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=832634240RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,2013-09-06,2023-11-20 20:45:15
"École Montessori International Montréal, Inc.",/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=803505957RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,MONTREAL,2023-10-28,2023-11-20 20:45:15
École Québec monde,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=829309855RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,2010-11-02,2023-11-20 20:45:15
École Robert H. Smith School Parent Council,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=107902850RR0001&dsrdPg=1,Registered,Charity,MB,WINNIPEG,1995-09-01,2023-11-20 20:45:15
École Sainte-Marie Mère de Dieu,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=712994607RR0001&dsrdPg=1,Registered,Charity,ON,OTTAWA,2023-02-20,2023-11-20 20:45:15
École Supérieure de Théologie Évangélique en Ligne,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=760593095RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,MONTREAL,2023-06-17,2023-11-20 20:45:15
École Trilingue Vision Rivière-du-Loup,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=786117507RR0001&dsrdPg=1,Registered,Charity,QC,RIVIERE-DU-LOUP,2023-07-05,2023-11-20 20:45:15
École-O-Champ Québec / Farm to School Québec,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=780128484RR0001&dsrdPg=1,Registered,Charity,QC,OKA,2023-05-26,2023-11-20 20:45:15
ÉcolACTion,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=118892231RR0001&dsrdPg=1,Registered,Charity,QC,CHICOUTIMI,1977-01-01,2023-11-20 20:45:15
Écomeuble,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=847474624RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,VICTORIAVILLE,2010-05-15,2023-11-20 20:45:15
Écomusée de la maison du fier monde,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=107608168RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,1982-05-11,2023-11-20 20:45:15
Éconord,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=835838111RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL-NORD,2011-07-07,2023-11-20 20:45:15
Écoute agricole des Laurentides,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=803557529RR0001&dsrdPg=1,Registered,Charity,QC,MIRABEL,2020-10-05,2023-11-20 20:45:15
Écoute Entraide Inc.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=107015208RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,1988-07-12,2023-11-20 20:45:15
Éditions Néhémie,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=807337894RR0001&dsrdPg=1,Revoked-Voluntary,Charity,QC,QUEBEC,2020-01-18,2023-11-20 20:45:15
Éducation sans frontières,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=820014751RR0001&dsrdPg=1,Registered,Charity,ON,MISSISSAUGA,2008-06-27,2023-11-20 20:45:15
Éducation Tony & Co.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=777644337RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,2021-01-01,2023-11-20 20:45:15
Édu2,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=743358483RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,2019-03-15,2023-11-20 20:45:15
Église érythréenne orthodox tewahdo St-Mary / Eritrean Orthodox Tewahdo St. Mary Church,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=836781559RR0001&dsrdPg=1,Registered,Charity,QC,LASALLE,2008-07-01,2023-11-20 20:45:15
"Église évangélique ""Christ-pour-tous""",/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=851569285RR0001&dsrdPg=1,Registered,Charity,QC,MONTRÉAL,2011-07-28,2023-11-20 20:45:15
"Église évangélique baptiste ""Jésus le sauveur"" / Biserica Evanghelica Baptista ""Isus Mântuitorul""",/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=851372300RR0001&dsrdPg=1,Registered,Charity,QC,LAVAL,2011-11-01,2023-11-20 20:45:15
Église évangélique baptiste de Deux Rives,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=733823017RR0001&dsrdPg=1,Registered,Charity,QC,OTTERBURN PARK,2023-08-16,2023-11-20 20:45:15
Église évangélique baptiste de Montréal-Nord,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=826847410RR0001&dsrdPg=1,Registered,Charity,QC,LAVAL,2009-01-01,2023-11-20 20:45:15
Église évangélique baptiste de St-Liboire,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=809593759RR0001&dsrdPg=1,Registered,Charity,QC,ST-LIBOIRE,2008-02-27,2023-11-20 20:45:15
Église évangélique baptiste souffle de vie de Montréal,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=107286999RR0001&dsrdPg=1,Registered,Charity,QC,VILLE LASALLE,2008-01-01,2023-11-20 20:45:15
Église évangélique baptiste Shalom (E.E.B.S),/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=883349201RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,2017-01-17,2023-11-20 20:45:15
Église évangélique d'adoption / Gospel Adoption Church,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=814091690RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,QUEBEC,2022-09-17,2023-11-20 20:45:15
Église évangélique de Baie-Comeau,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=888132669RR0001&dsrdPg=1,Registered,Charity,QC,BAIE-COMEAU,1982-05-10,2023-11-20 20:45:15
Église évangélique de Dieu Eben-Ezer de Salem,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=808041230RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,2014-04-04,2023-11-20 20:45:15
Église évangélique de St-Hubert,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=107287401RR0001&dsrdPg=1,Registered,Charity,QC,SAINT-HUBERT,1975-01-01,2023-11-20 20:45:15
Église évangélique du Berger de l'Alliance chrétienne et missionnaire,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=118782630RR0004&dsrdPg=1,Registered,Charity,QC,QUÉBEC,1984-01-01,2023-11-20 20:45:15
Église évangélique foi & Actions de Montréal inc.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=824559223RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL-NORD,2009-01-01,2023-11-20 20:45:15
Église évangélique mahanaïm de la Rive-Nord,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=850681651RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,LAVAL,2023-08-05,2023-11-20 20:45:15
Église évangélique missionnaire de Jésus-Christ - Evangelical Missionary Church of Jesus-Christ,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=842914236RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,2018-12-28,2023-11-20 20:45:15
Église évangélique parole de foi d'Ottawa inc.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=828222562RR0001&dsrdPg=1,Registered,Charity,ON,VANIER OTTAWA,2009-05-25,2023-11-20 20:45:15
Église évangélique parole de Christ,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=834707457RR0001&dsrdPg=1,Registered,Charity,ON,WELLAND,2009-11-16,2023-11-20 20:45:15
Église évangélique tabernacle de la foi,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=837910553RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,2007-08-31,2023-11-20 20:45:15
Église évangélique Baptiste de la nouvelle vision,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=806059895RR0001&dsrdPg=1,Registered,Charity,QC,MONTRÉAL-NORD,2009-11-06,2023-11-20 20:45:15
Église évangélique Baptiste espoir et vie de la Montérégie,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=806446829RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,2009-02-10,2023-11-20 20:45:15
Église évangélique Cité de David,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=826437865RR0001&dsrdPg=1,Registered,Charity,QC,TERREBONNE,2010-01-27,2023-11-20 20:45:15
Église évangélique Farnham,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=877269415RR0001&dsrdPg=1,Registered,Charity,QC,FARNHAM,2002-01-01,2023-11-20 20:45:15
Église évangélique Mont Hermon,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=850911173RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL-NORD,2016-01-01,2023-11-20 20:45:15
Église Érythréenne Orthodoxe Kidist Selassie (de la Sainte Trinité),/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=710358318RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,2019-01-16,2023-11-20 20:45:15
